	SRX4240060	SRX4240061	SRX4240062	SRX4240063	SRX4240068	SRX4240069	SRX4240070	SRX4240071
AT3G46550	38.0514742910698	42.8906225316544	50.7239768405543	54.4976645024191	26.348136076524	27.3147983605032	31.0657336459193	32.7279638765275
AT3G46560	30.5097406477947	62.260581094337	41.8472808934573	40.7007874131991	42.3861319491908	51.2152469259435	28.2415760417448	32.7279638765275
AT3G46580	5.82770326980349	1.38356846876304	7.60859652608314	8.27812625353202	33.2215628790955	26.1766817621489	21.1811820313086	19.6367783259165
AT3G46590	109.499007106455	108.439090175032	114.627769684908	97.011871206161	40.3847055302718	41.8949840615226	44.0525972534019	41.5928831909946
AT3G46600	26.255234959207	19.7680576400097	16.8241047479614	33.0032647096888	50.5676700373843	73.1749802150757	48.035321479831	46.7608427741754
AT3G46610	41.2732396397956	21.8808379884897	19.6321988305942	34.0929134462878	14.7200310431277	3.52397154056378	11.1658613914044	7.76378572629303
AT3G46620	27.7672920502401	24.9042324377348	22.8257895782494	23.4546910516741	29.7848494778098	23.9004485654403	33.8898912500938	26.182371101222
AT3G46630	24.6820373779912	17.9863900939196	29.1662866833187	21.3851594882911	16.0379958726668	20.4860987703774	12.7087092187852	18.3276597708554
AT3G46640	20.0729696727402	20.3880123803615	11.669630990437	18.0891674036351	44.1822990848015	38.7518374940898	33.3420581624484	30.1177695674741
AT3G46670	21.9395887804367	26.2878009064978	8.876695947097	14.486720943681	33.2215628790955	37.5578477456919	18.3570244271341	13.091185550611
AT3G46700	103.87024063238	118.986888313622	48.1877779985266	79.3320432630152	53.84184328681	48.9390137292349	72.0160189064493	72.0015205283606
AT3G46740	203.969614443122	185.398174814248	272.641375517979	218.680501864138	210.785088612192	190.065471925168	210.399741510999	188.513071928799
AT3G46780	796.681317589606	885.483820008349	980.240852443712	989.925931151537	1013.83045337929	765.952470692445	943.268639794277	824.744689688494
AT3G46790	31.880964946572	22.1370955002087	29.1662866833187	24.8343787605961	19.4747092739526	21.6242153687317	16.9449456250469	20.9458968809776
AT3G46820	30.5097406477947	16.6028216251565	29.1662866833187	23.4546910516741	12.6012824713811	13.6573991802516	2.82415760417448	6.54559277530551
AT3G46830	55.0606536800346	37.3480405793831	58.4810565609916	39.5902476999614	32.6568048525778	34.9910845886975	28.9426519105849	29.945948185367
AT3G46845	14.0550490624672	20.7535270314457	13.9490936311524	7.58828239907102	1.14557113376191	6.8286995901258	4.23623640626173	3.9273556651833
AT3G46870	14.9127336130805	10.943259990901	8.77621832623376	15.6868126629962	37.3759358724741	36.0074867762369	23.7336169777552	21.2656037300882
AT3G46900	20.225558406965	37.3563486566022	49.4558774195404	35.1820365775111	22.9114226752383	37.5578477456919	33.8898912500938	15.7094226607332
AT3G46920	21.6345302910692	16.8993709545212	18.0704919979616	23.8736242341694	14.4594248605695	11.5844493299529	15.0812459779691	10.6600097669679
AT3G46940	23.9356087900116	25.7611565621855	46.1483160784407	30.5334080578661	5.33244974792339	2.11910003286208	0	4.46635057714043
AT3G46960	34.110697038685	20.6506630223822	27.7599110366273	28.143411534481	13.6787178867327	11.3247556992039	8.77234270239624	11.7236696617194
AT3G46970	34.2806074694323	27.6713693752609	27.8981872623049	28.2835980329011	21.7658515414764	13.6573991802516	11.2966304166979	30.1097267664053
AT3G46980	32.2347855415506	13.7220057813206	38.9880882195841	32.976065765584	20.2711767977063	11.5754248583769	14.2347138562889	20.4398740737263
AT3G47000	42.8507593367903	55.3427387505218	48.1877779985266	47.5992259578091	28.6392783440479	50.0771303275892	42.3623640626172	43.2009123170163
AT3G47060	34.6234135441266	23.5206639689717	31.7024855253464	25.5242226150571	17.1835670064287	11.381165983543	28.2415760417448	10.4729484404888
AT3G47070	483.356565318995	643.359337974816	493.29067477439	607.752435780142	597.98813182372	686.284308807643	447.628980261656	420.227056174613
AT3G47080	70.6180513870305	63.6441495631	55.7963745246097	60.7062591925681	64.1519834906672	60.3201797127779	56.4831520834897	49.7465050923218
AT3G47120	24.0110096362827	26.0837932750403	19.6769394086562	26.331468194769	38.6471498776245	33.8785258378471	29.4235263553264	35.0718952442273
AT3G47160	9.16137600332015	4.93005303556486	5.94576645850077	6.46897298979572	30.614999761311	53.8838636999733	20.126574266067	27.9296543628299
AT3G47250	107.105181737983	76.1352592084763	68.5984749647183	109.186743513205	58.6034065102374	72.4118659270273	41.3192692141913	67.7919631521242
AT3G47290	69.2269872996385	67.9309774316983	54.5126523018435	72.4128518916456	58.4073888260838	46.6494112600143	39.5268784353214	51.0409957889907
AT3G47295	40.1083107392358	84.3976765945457	51.9920762615681	48.9789136667311	44.6772742167147	62.5964129094865	28.2415760417448	30.1097267664053
AT3G47340	10.7232644645874	25.3441409553608	15.485989645466	7.22843193475755	18.6529041509992	33.608494769106	21.5553265632574	36.1640938346507
AT3G47350	162.832885479803	185.398174814248	190.214913152079	167.632056634023	97.3735463697628	113.81165983543	63.5435460939259	95.5656545194604
AT3G47370	106.88637792518	168.300642449012	158.902520635964	103.817191825643	114.86954411413	174.489615809813	83.8119180528954	88.4862414805097
AT3G47390	24.7861941207224	24.8699722488743	21.5280337308418	27.705699053355	16.0159327647628	15.911712839555	12.6912261351729	10.4585410423731
AT3G47420	282.420076089896	342.093506381738	182.008165648449	254.382472444563	322.663595696134	308.747371743643	224.751851995868	246.367858765403
AT3G47430	157.347988284694	200.617427970641	152.171930521663	191.086747685698	202.766090675859	236.728252457695	166.625298646295	161.021582272515
AT3G47450	43.1935654114847	37.3563486566022	43.1153803144711	52.4281329390361	50.4051298855243	33.0053813522747	29.6536548438321	56.2920978676273
AT3G47470	5692.98048244862	5454.02690386392	4987.4350228475	5768.4743110029	8637.60634856484	7488.8072171713	5881.30821069336	6036.34565738674
AT3G47490	25.6381111196855	18.3381892519356	20.6864386251099	22.3303052745876	31.5353944763335	37.7840263756807	32.7217224303868	21.3555815841415
AT3G47500	129.580696234454	143.891120751357	164.852924731801	149.696116418037	101.95583090481	79.6681618848011	121.438776979503	113.893314290316
AT3G47520	103.87024063238	124.521162188674	139.490936311524	96.5781396245402	106.538115439858	109.259193442013	91.7851221356707	104.729484404888
AT3G47540	13.7122429877729	12.4521162188674	22.8257895782494	14.486720943681	22.9114226752383	25.0385651637946	16.9449456250469	14.4003041056721
AT3G47550	16.5065369527878	13.9789308296333	27.8109290176974	13.2427353692303	42.8249718052029	62.0461846568693	53.1319626360865	86.6461330247263
AT3G47560	15.6054903569153	6.66828601442012	6.60933402596182	9.03910769353462	8.35900325107819	21.3547088530357	14.3082721819435	12.2202762477531
AT3G47590	16.778987755865	20.3730651159164	13.693373296254	18.2843287855242	16.8685510185928	15.6415306881103	18.020496150934	17.9916698192186
AT3G47610	26.7388738261572	22.1370955002087	25.3619884202771	19.315627924908	34.3671340128574	30.7291481555661	55.0710732814024	34.0370824315886
AT3G47620	60.6766752208951	56.7263072192848	63.4049710506929	57.9468837747241	64.1519834906672	58.0439465160693	66.3677036981003	44.5100308720774
AT3G47630	9.72174064619426	8.0154125572364	5.3189473944501	7.55032485734776	14.3793544199799	17.9015409253868	11.8457161018419	16.2711222115091
AT3G47640	74.7662956805032	133.278852200829	94.8319055371379	90.8502629308079	31.3633762813547	27.6971435270198	24.3413598930402	19.3802473251907
AT3G47650	170.031813048384	131.439004532489	91.3031583129977	150.385960272498	199.329377274573	147.955157786059	114.378382969067	108.656840070071
AT3G47670	18.5115280334934	19.3699585626826	22.8257895782494	24.1445349061351	14.8924247389049	21.6242153687317	12.7087092187852	10.4729484404888
AT3G47680	21.253976631048	11.0685477501044	15.2171930521663	17.935940215986	41.2405608154289	43.2484307374634	43.7744428647045	41.8917937619552
AT3G47700	8.91295794205239	9.68497928134131	10.1447953681109	11.727345525837	13.746853605143	9.10493278683441	11.2966304166979	19.6367783259165
AT3G47730	85.3587125988864	52.5756018129957	96.3755559970532	80.0218871174762	65.2975546244292	54.6295967210064	77.6643341147983	111.275077180194
