	SRX2513393	SRX2513394	SRX2513395	SRX2513396	SRX2513397	SRX2513398
AT5G02460	89.0581432304751	76.2917204110862	68.6732787190144	146.158400295606	153.019414503107	67.6115477598199
AT5G02470	142.073347864134	168.904777029473	150.046817707088	106.424837072514	157.750898790204	149.686354387311
AT5G02480	1108.80619760428	1054.04355959894	940.5117403217	964.085401840975	937.466184484396	709.194899626185
AT5G02490	2108.56551922775	1684.48019871657	1709.76143816182	1536.15076789185	3346.39242993528	877.253776156941
AT5G02500	37269.6315753634	29514.5612861665	29141.0112742054	58002.2535781881	68050.4157430832	21229.0013449891
AT5G02502	166.38710829207	238.410452901648	221.520759485023	249.735507680445	274.701651078286	201.948413063016
AT5G02520	120.706374724707	87.40612374445	110.274141777901	27.8380009498599	39.8213347764629	53.7837018400331
AT5G02530	1514.17258238798	1211.74390622802	1250.22135652423	1695.21446093633	1521.0659426148	1052.17980959157
AT5G02540	584.769242400153	774.082757728415	655.166725085191	396.092075385275	416.22231041089	1069.9146314442
AT5G02550	277.353546349206	274.849846017523	357.143356399021	173.293507826136	230.808574996564	340.028355000405
AT5G02560	198.218626325888	278.686793598955	270.963718155813	220.55358005716	160.559898540885	204.021384304658
AT5G02565	17.5790850057617	17.1465246213325	9.25146599306975	15.7031806917435	17.7628998956442	44.2619348955521
AT5G02570	69.7123307317582	83.0640516534071	88.1912886943879	80.3078437999951	70.2753777531358	82.7035977613325
AT5G02575	30.67144834063	37.6441513837048	24.9557709698963	19.1462051806289	20.3042930881445	36.6253321567562
AT5G02580	197.346476988649	321.892813152148	223.239676627209	134.752153925172	304.976073563028	369.089732173206
AT5G02590	175.214718585061	191.791033563737	169.075587594825	175.189774582459	198.989054806015	145.940924911033
AT5G02600	95.1312064750476	90.807239836896	84.5425993224862	95.4796856028437	128.949314660488	112.117755694814
AT5G02610	1154.40352364854	1394.42031685707	1240.69631038359	1470.77129057423	1486.72961574181	1198.54067661595
AT5G02620	322.799007868876	401.368732145323	369.600132046422	1006.17696990459	876.254181713375	705.815989378075
AT5G02630	28.7716783552655	29.8392380436901	37.5286837971144	44.8030581313772	53.4995314816292	42.2703877121576
AT5G02650	24.4804480498796	24.9974860456856	17.9486864445009	24.4100029539304	23.5336290444956	32.1336488856013
AT5G02660	25.6010920642345	23.6231605096749	48.489977995396	27.7324466338003	8.56094115972797	35.2183683591383
AT5G02670	46.956095211765	80.0837538078086	63.5012908918321	43.6013092158877	52.4292155746924	124.987355232042
AT5G02680	42.794677717953	62.5269919325394	49.5649780360232	14.6341559995704	47.0688630729847	38.4119083942011
AT5G02690	21.3957787309089	28.1329774345672	26.9154123201619	6.52837645418413	10.4510954443741	20.3647504589821
AT5G02710	262.535604271166	277.540842496077	238.154848481985	227.52564827431	282.543569517126	257.960031015999
AT5G02720	45.3964047723263	34.7645635885157	26.2707376892051	27.0920571047492	8.46331027622184	7.94464560101111
AT5G02740	491.903200250656	472.011161323816	463.353827680216	457.24974521716	453.077912274249	384.704926424459
AT5G02750	33.3898537778316	37.6487781204877	27.3934823078439	43.6677211451084	56.7065434870745	43.9962452078045
AT5G02770	2971.30987740787	2588.89475007131	2709.02155431997	5161.16141422641	4785.31063081106	5376.45000190881
AT5G02790	1805.22273855852	2037.90782915654	1824.04474247336	2909.12351907473	3043.75154598995	3113.55247369077
AT5G02800	241.714729807763	273.5913843218	243.506684474273	252.616935690786	277.142102102475	330.643394939577
AT5G02810	1626.36675272831	1597.45314389967	1611.63717022453	2598.69959803485	2696.40664976296	3170.04032137594
AT5G02820	247.782358792815	207.541614846732	212.425341980876	189.779444249809	215.07892656548	134.229555535398
AT5G02830	490.810780474109	687.800412190062	619.833823673396	794.970704487067	793.008724710206	679.84368849287
AT5G02840	903.817100324964	1063.09072568496	1042.35825235575	1652.942752292	1405.62665429395	1255.1861248155
AT5G02850	241.605530119319	265.003824316375	302.104163158823	222.322401178784	204.380913584837	214.493941592793
AT5G02860	259.573627899893	268.521545134975	236.026343422956	566.437185388874	497.252219864119	477.986252376506
AT5G02870	7284.28231741973	6560.2621644801	6028.10528798976	6244.98453590637	6088.09110235896	4284.97004092212
AT5G02880	1241.02079129286	1125.9758751997	1275.39567487694	1721.34099183975	1649.01104935382	1678.52497791175
AT5G02890	217.923547809057	216.795077755021	205.750815544182	61.7261086922337	103.790543239761	121.47035067929
AT5G02895	22.9029204790786	14.0756258844946	21.560833831645	12.1858496579868	24.6048238192099	15.1971296299969
AT5G02910	121.893593766798	133.180638221862	155.226491498936	120.905168729602	111.228542231808	135.499822825441
AT5G02940	2162.13012765386	2380.34635015116	2114.14291751776	1044.82028264157	1234.56030753694	1227.26313783712
AT5G02950	209.039431012238	201.285976244706	244.071823604153	164.580964871955	169.919281726409	202.423191987539
AT5G02960	6105.4498324157	7400.00304288563	7182.42211334996	7833.65292112302	8374.94702434052	6893.41569340029
AT5G02970	365.521738094808	319.099170897852	336.732478826335	338.516626029406	369.199145167851	356.099449861311
AT5G03010	19.8370399309887	11.7333093452935	11.5026745198279	24.3602737241459	21.395840108962	31.302202917793
AT5G03030	158.630074075137	177.86603658196	150.335618650167	2538.61391095788	2038.76819143524	525.229617272876
AT5G03040	1445.84152560736	1395.25618731893	1172.26776799924	878.66482428114	979.424437867618	594.035062186059
AT5G03050	141.456858941901	172.743236251205	199.760950390487	139.292695862705	128.964146576776	164.581874956871
AT5G03060	21.2641432556419	39.9865931533258	36.0302778143007	15.778034938305	14.9788180796273	24.2294192335256
AT5G03070	170.193849867023	165.351383149881	203.355156127057	455.821811958881	358.488475040931	172.463361960671
AT5G03080	586.506278016179	527.564829712501	554.038796150104	826.767815676684	654.782342364897	445.876345171986
AT5G03100	104.31586241475	90.0188508842878	96.4885329375128	245.56801212439	212.322134347315	124.513796851802
AT5G03110	33.3785100224943	39.2241987974133	46.8653335030486	33.954932734583	39.5879035266671	26.0450789222885
AT5G03120	139.499709899398	70.3129303769744	68.2530726700448	47.0428096742191	45.3490732094102	82.2408829015497
AT5G03140	301.693760649041	283.164241408829	253.00703062925	176.795019657531	173.370298904245	141.218251151358
AT5G03150	142.899444934184	167.034627729246	122.382341766991	54.2108475847803	50.2966951388087	75.0158739555553
AT5G03160	895.031429080559	902.169817947363	896.406788365089	1026.66346983519	1198.47596695145	827.61865376806
AT5G03170	322.302582632667	335.384025866807	244.438441253676	194.521188166493	235.310834618937	258.270872507484
AT5G03180	168.611939715029	217.776146641017	223.070343540543	349.218845000319	245.581218607187	333.328995125531
AT5G03190	453.625389310635	468.155606819832	542.112035308796	508.569582851815	403.748649700457	571.684487614786
AT5G03200	188.190858707412	206.287522913334	209.059177603829	322.647394160283	274.973463256563	259.494624823153
AT5G03210	38.051888934859	33.9660461562366	75.234041050792	354.526138314195	302.627780562658	349.063296294322
AT5G03220	156.972901024863	165.127342608264	201.872680244669	153.24334180107	182.882319726411	173.321051152129
AT5G03230	91.4255689559762	82.1919914787438	115.828871767891	248.204629567785	172.242776365036	203.227946994317
AT5G03240	2060.97833759555	2219.92644353741	2423.96851823489	7519.45814303411	5506.8197968129	5360.85730984906
AT5G03250	306.129534225093	240.721660090362	236.429937051524	336.046300698467	231.298379962394	224.171436792667
AT5G03255	18.0225828253226	26.8094985535011	21.0169873708792	25.26832304929	23.5438414354588	55.1950387335181
AT5G03260	201.981875729487	209.36175747521	129.487672908559	6.03304323658723	19.2617561854137	30.6824751466511
AT5G03280	1068.01328012138	872.302808511441	838.776519266989	903.229638726517	843.359840703233	992.856538211869
AT5G03285	15.136388152785	14.4955897565353	8.81997918886105	31.4603883578081	30.6438589921951	41.2061516869227
AT5G03290	869.1031209921	900.728444911086	881.255986280821	1360.91873980837	1247.61246450701	939.924477067464
AT5G03300	1595.90388771652	1720.66521119622	1716.15207549842	949.227404784848	912.009193377966	784.322365029559
AT5G03320	311.722145496304	282.030241678571	264.006056178695	242.016612755776	218.121451738442	246.446607419471
AT5G03330	207.599826370968	241.866388743161	286.905418525683	269.73070314373	265.551053861246	340.728433594746
AT5G03340	696.443084582184	659.403977667492	668.404574735944	1808.83315433026	2052.61895759517	1520.81871399333
AT5G03345	310.178813364044	380.504162333787	313.723696253452	352.136616881205	390.560243541905	348.324154794285
AT5G03350	354.137516295724	581.088507465311	408.273425534558	123.052001387117	186.142134652928	126.965402295864
AT5G03355	72.2450948014674	37.020055648237	24.6138205043798	3.61572272589787	27.8233718418784	4.51703316095684
AT5G03370	230.933521469335	214.799119599187	206.063519174662	354.47623632618	269.616885745837	259.290507304627
AT5G03380	400.49631574469	417.67630028943	314.667005671113	639.333794622023	730.139324844676	341.362799793817
AT5G03390	270.429119139841	313.680369958588	267.346160048687	136.586539390125	114.494901075498	126.127304381314
AT5G03406	83.2909311782374	90.3004989144559	91.6540885565084	125.93813561875	100.578996240763	107.920120760498
AT5G03415	273.468269444553	274.198089835097	287.626393003654	443.63976351182	313.565865617301	304.5636800706
AT5G03420	607.012325486504	537.768774484882	614.388173645494	514.934485348498	493.322321245797	618.492061452061
AT5G03430	551.362069352813	598.351632513706	575.267944802764	947.971667652257	948.117737348866	806.210338802424
AT5G03440	169.731428265606	178.213510735122	182.12530330967	328.630230949884	362.351798421111	292.809117425628
AT5G03450	269.3491747609	231.600415400046	229.51568430197	551.898154793754	480.490539884847	436.422806171866
AT5G03455	294.626843908041	412.126794898954	374.822590554458	476.442407876954	551.582597173402	649.543621289463
AT5G03460	493.087829719749	550.1453563407	499.844120043053	812.149978530339	765.265964562775	790.234827979289
AT5G03470	191.002835553488	180.44378397688	194.814043887072	360.155756748969	285.728954323458	229.594264607767
AT5G03480	76.2093985210194	65.7442772379916	53.2305440797807	53.5458595817923	25.67575880266	13.4264009047405
AT5G03490	78.4203120905136	41.7043823479106	45.562299411552	37.4192804457128	21.4017284984242	30.671159421327
AT5G03495	37.935225233062	37.6526773650488	34.605890613051	40.0224408050149	32.0981987812463	56.5751134691963
AT5G03500	183.569008510303	210.357484434283	248.011122305561	356.518676401508	341.436911096104	381.186087518625
AT5G03510	45.6338391341281	43.0904727335962	32.4028523782683	24.3015876467706	36.3758180630025	30.4779227043932
AT5G03520	1100.42386890724	974.912338356008	1017.84834949039	448.831037294536	705.085865299239	738.919742812677
AT5G03530	222.148047591357	279.938359718006	323.965612104573	140.756670659219	152.154982901834	189.24714139968
AT5G03540	663.550151444795	624.25217145191	613.696641231214	798.912285923586	746.430912965629	738.148362908857
AT5G03545	16.8631489336722	21.8515526300407	12.1931049280804	31.7802602601785	22.4624617412544	16.93541308208
AT5G03555	352.273516156496	451.278692287962	437.931614035756	364.045301834131	445.171952286673	385.691135643841
AT5G03560	278.485110777219	247.914222367395	260.542012713047	1444.38215522816	1061.46890860564	739.594709273755
AT5G03585	19.9099076854448	12.4925813676956	15.069415325549	50.0780836255478	12.836097496289	16.0554208402474
AT5G03600	75.8420851718762	50.9488392045113	47.7495795245848	61.0489397638697	26.7000445575274	26.6052536942641
AT5G03610	667.457859542695	666.06128319037	606.39262475302	275.973281798691	278.200830583924	403.971616077072
AT5G03620	470.286785344507	326.143569628372	249.677314909441	71.7171126279051	23.5902736017149	50.7350782786931
