"";"ID";"Description";"GeneRatio";"BgRatio";"RichFactor";"FoldEnrichment";"zScore";"pvalue";"p.adjust";"qvalue";"geneID";"Count"
"GO:0006779";"GO:0006779";"porphyrin-containing compound biosynthetic process";"23/1258";"70/14111";0,328571428571429;3,68558937088349;7,04678763113447;1,73620180538845e-08;1,05713036280246e-06;9,57483370234255e-07;"GATA21/ATGLK2/BPG1/ABAR/HEMC/CGA1/CHLM/CH-42/AtCLA1/GUN4/ACSF/BPG4/NTRC/BPG3/BCM1/ATDUF3/ARR12/PIF1/BBX22/NA/AtHEMA1/ATCAO/BGH3";23
"GO:0046148";"GO:0046148";"pigment biosynthetic process";"34/1258";"135/14111";0,251851851851852;2,82502502502502;6,66570110798195;1,75769894052665e-08;1,05713036280246e-06;9,57483370234255e-07;"ABA1/AtOR/GATA21/AtCOMT/B2/ATGLK2/BPG1/ABAR/HEMC/CGA1/B1/CHLM/CH-42/AtCLA1/GUN4/ACSF/BPG4/AtLCY/NTRC/BPG3/UGT73C6/BCM1/ATDUF3/ARR12/PIF1/BBX22/NA/ATMYBL2/MYBD/AtHEMA1/ATCAO/NA/BGH3/HPD";34
"GO:0010114";"GO:0010114";"response to red light";"22/1258";"65/14111";0,338461538461538;3,79652684358567;7,06969881667708;1,91328497451395e-08;1,11102479209706e-06;1,00629761454472e-06;"ABA1/ATSIG5/IAA29/CGA1/ATCRY1/DEG13/DVL6/HYH/HCF107/SPA1/AtPIF4/CYP707A2/ATCOL3/ATRL2/PIF1/LHCB2/LHCB2/ABC1K3/AT-EXP1/ATGA3OX1/DVL4/ABC1";22
"GO:0009640";"GO:0009640";"photomorphogenesis";"28/1258";"106/14111";0,264150943396226;2,96298407175211;6,34643337723899;1,06616706414051e-07;5,98475112004204e-06;5,42061781031436e-06;"NF-YC4/AtOR/PIF7/BHLH136/CaS/BHLH134/BBX19/NA/ATH1/BBX28/TCP2/ATCRY1/NA/AMP1/AtBBX32/HYH/SPA3/SPA1/AtPIF4/BBX25/ATCOL3/BBX18/PIF1/BBX22/IAA6/AtSBH2/ATGSTU17/BBX24";28
"GO:0009637";"GO:0009637";"response to blue light";"24/1258";"89/14111";0,269662921348315;3,02481198978225;5,99482209620612;5,66396964347251e-07;3,07681447729281e-05;2,78678845955575e-05;"TZP/PMI15/ATSIG5/PKS4/CIB1/TCP2/ATCRY1/A-PUT2/BIC1/BIC2/AtBBX32/CBC1/SPA1/AtPIF4/RPT2/BBX18/AUXILIN-LIKE6/PMI2/PMI1/NA/PKS2/AtMYB60/ABC1/FBI1";24
"GO:0006720";"GO:0006720";"isoprenoid metabolic process";"35/1258";"164/14111";0,213414634146341;2,39387432626314;5,61702964732877;8,58934379888941e-07;4,52014217416555e-05;4,09406551466801e-05;"ABA1/DXR/ATMYB96/AtOR/CLB4/AtcPT4/B2/CLB6/ATH1/ATSDX1/B1/AT2301/CCD4/ATTPS03/AtCLA1/DJC26/ATCCD1/CYP707A4/AtLCY/CYP707A2/PIF1/ATNRP1/AtBAS/AtSPS1/ATGA2OX1/D27-LIKE1/NA/TPS29/NA/AtSPS2/ATGA3OX1/AVDE1/UGT71C4/HPD/AtD27";35
"GO:0009645";"GO:0009645";"response to low light intensity stimulus";"10/1258";"19/14111";0,526315789473684;5,90369006777675;6,69137038925061;1,33563691428156e-06;6,81579564742469e-05;6,17332659902387e-05;"ATCRY1/LHCA2/A-PUT2/LHCA1/CAB4/DEG13/AtPIF4/LHCB2/LHCB2/LHCA3";10
"GO:0009409";"GO:0009409";"response to cold";"62/1258";"384/14111";0,161458333333333;1,8110799218336;5,04130553978763;2,88362166327328e-06;0,000141297534945064;0,000127978577406799;"ATPA/ATMYB96/EMB2728/AtcPT4/AtXTH22/BBX29/HCF106/DIN10/2-Cys/ATCIPK14/SHM1/CAT2/BBX28/ATCBF2/ATRBP31/RON3/AGL19/CHS4/ATPD/FIB/MYC67/AtSLD1/LHCA2/A-PUT2/TCF1/LHCA1/CAB4/DEG13/AOX1A/ATORRM1/AtSWEET16/PGK1/2CPA/AtFAD7/ATPK1/GPP/ATBCA1/AtGolS1/AtCCA1/MYC70/AGL20/AtPIF4/RCA/PIF1/LHCB2/LHCB2/ATNRP1/PQL3/TAPX/RBCS1A/LHCA3/ATHKL1/GAPB/PRK/AOR/DREB26/ATCCR1/ICE2/CRB/AtMYB60/KCS1/LHY";62
"GO:0006721";"GO:0006721";"terpenoid metabolic process";"30/1258";"137/14111";0,218978102189781;2,45627980922099;5,35853801418689;2,93670648638791e-06;0,000141297534945064;0,000127978577406799;"ABA1/DXR/ATMYB96/AtOR/CLB4/B2/ATH1/ATSDX1/B1/AT2301/CCD4/ATTPS03/AtCLA1/ATCCD1/CYP707A4/AtLCY/CYP707A2/PIF1/ATNRP1/AtBAS/ATGA2OX1/D27-LIKE1/NA/TPS29/NA/ATGA3OX1/AVDE1/UGT71C4/HPD/AtD27";30
"GO:0010206";"GO:0010206";"photosystem II repair";"8/1258";"13/14111";0,615384615384615;6,90277607924667;6,66117441582943;3,34134015445413e-06;0,000156300467225021;0,000141567306543978;"DEG5/MPH2/DEG1/LQY1/MET1/AtTLP18.3/LPA19/PSB27";8
