	SRX4240080	SRX4240082	SRX4240084	SRX4240085
AT3G14890	128.086435230427	234.988911456613	179.430081546944	300.759717706463
AT3G14900	224.484694157943	397.523484674463	284.688411349594	389.995646883801
AT3G14910	97.3351603575458	151.258935992484	143.403839960217	142.051394560325
AT3G14920	349.880441285232	396.273410823285	288.926948491276	308.63893909016
AT3G14930	2706.4810650731	3139.55756930443	2773.01026647902	2931.43658494364
AT3G14940	145.247977480911	255.032759090553	326.108163046903	219.95063314488
AT3G14960	151.702547223923	102.50605579656	264.908571355082	145.925523502879
AT3G14980	255.926183646231	393.277130417277	345.041795076969	333.908744919984
AT3G14990	3201.94732466198	4350.98337090045	2591.40574306959	4427.5062284578
AT3G15000	1624.88335263543	1426.33426419359	1839.52511948969	1650.37892952814
AT3G15010	832.956947380085	667.325597673944	614.898744191353	700.257286605257
AT3G15020	366.020188072838	562.08249560781	493.20200286946	564.678473019957
AT3G15030	929.901898605193	245.406572565624	1098.48132684255	309.514326508607
AT3G15040	585.764748818384	672.539731933525	425.972982738971	582.410717697331
AT3G15060	211.331294109626	73.7543572194758	207.688319942384	87.8135893645644
AT3G15070	279.478659494951	293.504477946315	156.685538948826	376.801141576809
AT3G15080	64.013213568476	132.507828224821	113.734079968448	171.753049786574
AT3G15090	303.405094447845	447.526438721565	182.963519949243	287.976918063204
AT3G15095	1439.74251697335	1822.40382517367	1642.44126168912	1583.05019959788
AT3G15110	441.077348286896	378.772376906799	439.395017020962	380.956012684507
AT3G15115	150.825653887368	202.511963890764	139.165302818536	145.925523502879
AT3G15120	233.759358101998	379.534668919841	361.859951957179	351.833305244583
AT3G15130	28.9374801062974	16.2509600653082	54.3945599849101	15.4965157702172
AT3G15140	94.5569246902942	103.837769932127	111.752108375301	83.6987905628819
AT3G15150	78.0435069533475	55.0032494518125	87.5964342614136	71.0256972801624
AT3G15160	438.992368164937	412.479438707899	371.951756067744	374.391251350145
AT3G15180	102.596520376873	100.005908094204	185.789211377031	129.137631418477
AT3G15190	4858.8659778483	6427.87974275499	5265.67597568207	5629.10935353141
AT3G15200	53.4904935298225	48.7528801959247	33.9082971334504	18.0792683985868
AT3G15210	489.306481797392	685.040470445301	361.688502756805	510.093644102984
AT3G15220	199.931680734418	187.511077676633	262.082879927294	241.487370752552
AT3G15240	71.0283602609118	45.002658642392	91.8349714030949	38.7412894255431
AT3G15260	434.160165973473	294.042638661849	425.752057617046	373.661117739207
AT3G15270	10.5227200386536	27.5016247259062	6.35780571252196	33.575784168804
AT3G15290	284.662492198695	472.504863314584	295.346443025188	500.746571322653
AT3G15300	36.8295201352876	8.75051695824289	38.1468342751317	12.9137631418477
AT3G15340	67.6827482894598	3230.08943942716	43.9032754361994	3370.01679735852
AT3G15350	208.406999339205	260.031137985087	209.709619909986	278.145139461541
AT3G15351	161.591876071489	151.829969295006	106.000621666629	161.852712644926
AT3G15352	71.6394152067901	59.9443244730028	61.7809261408122	55.5004846385221
AT3G15353	7026.58633982415	8639.87574658087	8585.04288844417	7525.64280225864
AT3G15354	205.046389838822	802.97374491624	180.886763793642	840.338041671521
AT3G15355	247.283920908359	175.010339164858	175.192868522827	152.382405073803
AT3G15356	22.7992267504161	15.0008862141307	53.6881371279632	50.363676253206
AT3G15357	78.920400289902	25.0014770235511	86.1835885475199	24.5361499695106
AT3G15358	79.7972936264564	40.0023632376818	45.9174857015475	20.6620210269563
AT3G15360	9152.13575361897	9420.55654247406	8029.20219205829	8721.95562600394
AT3G15380	449.846281652441	392.523189269753	312.238902770523	334.466465373855
AT3G15390	92.4776596565883	14.2173365713495	58.3662213975715	16.9895678254265
AT3G15395	306.680282519289	296.787358126145	137.138202776436	215.06862617387
AT3G15400	67.507009796654	136.863543802363	86.5841947679436	131.507254870292
AT3G15410	308.645264645643	349.774594734897	328.559975698884	404.714854561201
AT3G15420	46.4753468373867	26.2515508747287	21.8991085653534	15.4965157702172
AT3G15430	376.953945540198	483.117444534553	266.169652397777	435.867084197251
AT3G15440	14.0302933848715	0	7.77065142641573	1.29137631418477
AT3G15450	12527.1982534922	767.339729984935	6492.78362644883	1020.98655530989
AT3G15460	114.873027088635	72.5042833682982	86.1835885475199	72.3170735943471
AT3G15470	670.823402464167	447.526438721565	428.798674166759	446.81620470793
AT3G15480	737.467296042306	856.300588056626	608.936502688214	987.902880351349
AT3G15500	38.5833068083965	77.5045787730085	33.2018742765036	111.05836301989
AT3G15510	123.64196045418	135.007975927176	112.321234254555	142.051394560325
AT3G15518	34.1988401256242	38.7522893865042	19.7798399945128	19.3706447127716
AT3G15520	628.643397091326	951.313486088807	566.896543721252	648.842216245043
AT3G15530	751.407978924322	861.988660563007	496.550431710596	755.714079762407
AT3G15540	220.100227475171	98.7558342430269	156.119451385261	122.680749847553
AT3G15550	85.9355469823377	62.5036925588778	173.780022808934	68.4429446517928
AT3G15570	776.050602850703	476.278137298649	793.312868351351	357.711239029181
AT3G15580	866.370616515813	1060.06262579857	588.450239836755	830.354970020807
AT3G15590	369.60330430966	725.003472351902	393.457212504072	810.53975821875
AT3G15610	573.488242106621	507.529983578088	577.853896982551	499.762633589506
AT3G15620	77.1890239970731	58.7388723712278	75.6028661895723	109.739712605135
AT3G15630	735.713509369197	102.50605579656	551.00982841857	143.342770874509
AT3G15640	1100.28449240043	626.31999438775	899.323432752005	305.598055253391
AT3G15650	9.45284428246083	2.75676218108901	17.3555191469219	5.69569130838982
AT3G15660	424.962471208201	396.394557672563	476.230675802578	514.076351153294
AT3G15670	27.1836934331885	33.751993981794	18.366994280619	64.5688157092385
AT3G15680	262.640747940953	113.173466454626	255.455991383529	37.5141372215382
AT3G15690	403.728736544016	466.488069630669	373.73434953269	660.927718613931
AT3G15710	491.937161807056	235.013884021381	286.101257063488	207.911586583748
AT3G15720	27.4014666294909	6.79631384159229	73.6144264487034	8.42503701092309
AT3G15730	2161.54207460676	3277.69363778755	3020.66413630488	4540.47912067365
AT3G15750	125.967402960075	54.8059444202297	119.342387171666	42.8075493469898
AT3G15760	45.5984535008322	138.758197480709	59.3395199835383	91.6877183071187
AT3G15770	217.974807646434	1168.82075139327	112.206132024891	1234.02261074131
AT3G15780	161.348373926022	491.27902351278	129.981805678227	448.107581022115
AT3G15790	531.707253866612	1007.66486123701	531.657077083983	698.850093648378
