	SRX4520740	SRX4520741	SRX4520742	SRX4520743	SRX4520744	SRX4520745	SRX4520746	SRX4520747	SRX4520748
AT3G03570	205.179844900916	198.734684251318	188.633688979269	176.208172446551	248.008497881407	207.367429660888	183.106963953114	212.962943997064	200.41195321422
AT3G03580	58.3736272206095	53.7859630815499	67.8700880042126	52.3902244026868	44.9712406420222	86.8268892020299	109.579084520599	141.744521471669	107.324933862532
AT3G03590	73.1722835818087	55.0751931572127	49.3084484101758	61.5590215296881	52.8973299435245	80.1894014717526	61.4333032246687	68.5417262526284	82.1983564234759
AT3G03600	199.821985116584	207.189891012898	211.692918755418	155.172739355906	98.7000315572557	129.276703933547	134.745792067691	123.025374293613	145.420547564871
AT3G03610	116.822551030396	135.29917944319	105.231079201275	113.166741427945	69.3538942825068	98.652530806289	71.4226447016882	78.7399460784006	82.7002682268408
AT3G03630	243.369907662679	205.830517169158	270.009258796146	615.234285554364	317.715772939627	574.979282935523	459.881781204096	477.461455745076	349.190658572729
AT3G03640	252.563999205561	382.900550962125	338.257850594843	215.329108494251	207.508488751776	182.298389784412	359.14652761522	548.765734193512	289.902114884217
AT3G03680	161.307868412483	144.982285114304	177.532132272632	111.7500286152	133.825507360377	124.597180647056	89.6334144460376	127.318970115336	106.445579961033
AT3G03690	74.7465724559298	83.5433002654888	89.3591402827317	167.262734494298	115.530325952484	117.321259178463	121.74078700342	145.568868071809	110.865086143854
AT3G03700	9.85853968547177	3.07948976320344	8.61042438135407	18.0177988245738	0	0	0	0	7.86576671945948
AT3G03702	19.9844732211664	25.4338610067447	26.3489034664076	71.2277333588798	33.5048038510079	30.4092091352866	13.8918999198055	20.232934678674	90.6010228893473
AT3G03710	959.198860501854	1043.80207837059	1203.06536342014	1019.04268735742	1085.90381258324	1304.90735469951	725.315768017027	701.225905090483	592.711025610667
AT3G03720	362.103788874781	366.478620177502	379.658787564054	303.642106769048	426.320196300436	409.090539229825	471.562499002291	462.810808358164	356.290958044211
AT3G03740	392.58874446271	399.708520772666	355.108837166185	335.220179426296	296.763001953842	330.400583833451	391.199977594901	388.639203855065	363.080171921701
AT3G03750	51.1527607671462	33.1137752325936	41.3408148753204	39.4590711759003	42.323762934167	41.8665740647924	25.0744585351063	24.3644217138473	38.3878928146648
AT3G03770	432.143114922248	437.092297158529	467.825370863456	485.115289634882	706.787725007832	725.097714713297	503.892441213834	561.107327797318	456.057830546669
AT3G03773	128.093361924244	75.3401413032063	90.9388901420161	76.3005995826198	58.0084363148433	57.5420720024633	79.9871264268253	55.033483251054	87.2713867370961
AT3G03776	2.48696240862763	3.92875587303743	2.66278069393274	17.9345499140625	34.9195333294573	15.7642234698384	7.358575577575	3.21272606519918	8.87423398752791
AT3G03780	1305.37144855023	2537.32480931483	2114.50992409793	4038.0919647215	4488.54107679017	3778.91550482361	2287.29191987974	1613.41977675915	2006.72300848747
AT3G03790	593.016335009876	633.019289318253	634.242933522955	399.881130907174	564.999836256803	529.317408213824	789.736955743299	697.660478130239	701.108589470696
AT3G03810	181.960782759145	214.519362651308	193.962549719974	175.78163777673	265.128153160918	222.855340166668	231.020863281127	218.116004636556	193.433096735052
AT3G03815	2.3473068343241	3.89352316827796	4.81839954224508	0.664643149687426	0	3.41086113619028	31.5488456602047	28.3167910231132	14.556044051492
AT3G03820	63.5655398401868	126.312707152547	71.6171244874046	103.997133552769	93.9150507537341	126.94170401959	13.4282467108389	15.3770363409026	40.6786493259191
AT3G03830	3.95845773793188	31.9390504287487	11.9332046506038	38.8600278551764	22.0977638523393	21.0690156691237	0	4.32286671436867	5.68363434646185
AT3G03840	23.8455336783432	32.8870959107594	19.7630626129581	93.8150146008623	64.5057610156752	74.785453962111	4.12487059277525	6.58107228626297	26.0955493275184
AT3G03850	25.1971143267655	46.6274812201602	29.7134265806319	85.9511209291314	58.0503804876549	47.9867293176371	7.21052853970537	7.67094512994397	35.7105429598248
AT3G03860	323.484876809982	371.662471355782	357.654820368432	323.892695237244	397.531525885749	345.030964016186	357.920969687618	408.352391799655	371.786851174358
AT3G03870	715.529047068542	592.416630591415	555.859775821243	405.98798453805	661.667932054352	516.274666002691	542.627248069612	578.485560869531	393.509041336655
AT3G03880	129.584914694472	114.086261438077	120.647545941517	140.612597631196	120.848147679112	143.313418392861	124.335110171784	144.116255797649	114.019622037977
AT3G03890	436.096108068821	467.764639494947	494.107645184052	563.336329661866	592.527588232225	1131.77635991083	1426.23913989427	1276.87238324987	518.78319006817
AT3G03900	100.426622415025	94.5762744260416	104.405609303407	70.9184722181392	74.0975177173375	109.749470020265	146.446385082627	142.903669362594	117.829276079952
AT3G03910	14.1469223447476	2.82764124467491	3.16271429226058	22.6772004436275	13.1283748316936	7.67213531624269	1.37676236998448	1.46086559805439	0
