"";"ID";"Description";"GeneRatio";"BgRatio";"RichFactor";"FoldEnrichment";"zScore";"pvalue";"p.adjust";"qvalue";"geneID";"Count"
"GO:0044272";"GO:0044272";"sulfur compound biosynthetic process";"28/1199";"166/14666";0,168674698795181;2,06320528150969;4,11057298184728;0,000181596843207779;0,0110817038809472;0,0107937378615959;"AtMYB28/AtATR1/CYP81F2/ATIMD1/ATMYB29/CYP79B2/AKN2/ATMTAN2/ATR4/APS3/CYP83A1/BASS5/IPMI/ATMAPK3/AtSAMS3/ATLEUD1/MAT3/CYP79B3/ALF1/AKN1/IGMT5/ATSOT16/ATSOT18/FMO/FMO/ATSOT17/BUS1/CYP79F2";28
"GO:0000819";"GO:0000819";"sister chromatid segregation";"14/1199";"58/14666";0,241379310344828;2,95251790285008;4,44558416146602;0,00018322087374428;0,0110817038809472;0,0107937378615959;"ATCAP-C/TPXL5/NA/NDC80/NA/AtMAD2/BUB3.1/NA/BUBR1/RSW7/AtGIP2/UBC20/CENP-C/AtTPX2";14
"GO:0052482";"GO:0052482";"defense response by cell wall thickening";"7/1199";"17/14666";0,411764705882353;5,03664818721484;4,96885778192638;0,000224221391507827;0,0131094773568243;0,0127688181900773;"CYP81F2/FLS2/CYP79B2/ATR4/BGLU26/CYP79B3/ATFH4";7
"GO:0000070";"GO:0000070";"mitotic sister chromatid segregation";"12/1199";"47/14666";0,25531914893617;3,12302805529431;4,34971722463485;0,000298438160448903;0,0168858236589476;0,016447033426437;"ATCAP-C/TPXL5/NA/NDC80/AtMAD2/BUB3.1/NA/BUBR1/RSW7/AtGIP2/CENP-C/AtTPX2";12
"GO:0042430";"GO:0042430";"indole-containing compound metabolic process";"16/1199";"77/14666";0,207792207792208;2,54168517054255;4,04709585323749;0,00041677508405524;0,0228444842947778;0,0222508539941334;"AtATR1/CYP81F2/CYP79B2/CYP81F3/ASMT/ATR4/ATMAPK3/AIG2/BGLU26/CYP79B3/ALF1/IGMT5/UMAMIT5/ASB1/IGMT2/IGMT1";16
"GO:0051923";"GO:0051923";"sulfation";"5/1199";"10/14666";0,5;6,11592994161802;4,82872036210667;0,000643643956306526;0,0342106514958075;0,0333216631925197;"AtSULT202B1/ATSOT16/ATSOT18/ATSOT17/ATST4B";5
"GO:0051276";"GO:0051276";"chromosome organization";"30/1199";"197/14666";0,152284263959391;1,862719779173;3,63746484698066;0,00066484859855572;0,0342983659372569;0,0334070983113292;"ATRPA70D/ATCAP-C/RECQSIM/TPXL5/ATRPA70B/NA/NASP/ATRAD21.2/ATCDT1B/NDC80/ATBT2/NA/AtMAD2/BUB3.1/ATNBS1/NA/BUBR1/ATCDT1A/H1.2/RSW7/ATGRP7/HIS1-3/AtGIP2/UBC20/CENP-C/HMGA/H1.1/AtTPX2/ATPRD3/CENH3";30
"GO:0098813";"GO:0098813";"nuclear chromosome segregation";"18/1199";"96/14666";0,1875;2,29347372810676;3,79383682681857;0,000695313563360291;0,0348451425752557;0,0339396665664286;"NA/ATCAP-C/TPXL5/NA/NDC80/NA/AtMAD2/BUB3.1/ATNBS1/NA/BUBR1/RSW7/AtGIP2/UBC20/CENP-C/AtTPX2/ATPRD3/CENH3";18
"GO:0007059";"GO:0007059";"chromosome segregation";"23/1199";"138/14666";0,166666666666667;2,03864331387267;3,65778565602888;0,000783859319579166;0,038191367959496;0,037198937885292;"NA/ATK3/ATCAP-C/NA/TPXL5/NA/ATK5/NDC80/SPC25/NA/AtMAD2/BUB3.1/MCC1/ATNBS1/NA/BUBR1/RSW7/AtGIP2/UBC20/CENP-C/AtTPX2/ATPRD3/CENH3";23
"GO:0015698";"GO:0015698";"inorganic anion transport";"15/1199";"74/14666";0,202702702702703;2,47943105741271;3,80687288920754;0,000820982071277487;0,0389189879194787;0,0379076501190145;"DIC2/AtNIP5;1/AtPHF1/NPF2.5/NPF2.3/AtNPF2.7/NRT1.12/MPT1/SEL1/AST56/NPF5.12/GOSAMT1/NA/NPF5.16/PHO1;H3";15
"GO:0000272";"GO:0000272";"polysaccharide catabolic process";"18/1199";"98/14666";0,183673469387755;2,24666814181886;3,69469955240645;0,000895142799907809;0,0413179071325868;0,0402442316966863;"PMEI-PME94/ATBXL4/ATPLL14/ATPLL21/PME5/PMEI-PME51/PME46/ATPME44/ATPLL18/ATPME3/APG12/AtPLL1/ATPLL20/ATXYL1/ATPME1/ATPMEPCRA/NA/PMEI-PME7";18
"GO:0140014";"GO:0140014";"mitotic nuclear division";"13/1199";"60/14666";0,216666666666667;2,65023630803447;3,82182951717062;0,000935589921770948;0,0420775569945191;0,0409841415123954;"ATCAP-C/TPXL5/NA/PHIP1/NDC80/AtMAD2/BUB3.1/NA/BUBR1/RSW7/AtGIP2/CENP-C/AtTPX2";13
